Node,Adjacent nodes
297106824,"[295168688, 295168690, 297106822, 295170195]"
297106822,"[295168139, 297106824, 297106821, 295168140]"
295179129,"[295179054, 295179120, 295179118]"
295179118,"[295179129, 4373495622, 295155109]"
412442472,"[295182618, 2515677464, 1415962685]"
1415962685,"[1415962719, 412442472, 1420024735]"
1420024735,"[583330785, 1415962685, 414156166]"
414156166,"[584842249, 718623147, 1420024735]"
295174590,"[295174611, 295155871, 3225732027]"
295174611,"[297523198, 297523196, 295174590]"
1074705639,"[1074705050, 295172610]"
1074705050,"[295172614, 1074705639]"
295167653,"[295167662, 295167652, 295167580]"
295167652,"[295167650, 295167653, 295167581]"
1718160739,"[784898453, 473052727, 295165425, 295165508]"
295165508,"[1718160739, 473052724, 784898453, 295165425]"
784898453,"[295165360, 295165508]"
297328822,"[297523240, 297328823, 297523203, 295174613]"
297328823,"[297523198, 297328822, 297328824, 297523241]"
297328824,"[297328823, 297523196, 297523242]"
295174615,[295174613]
4605758337,"[584842151, 532216417, 4605758338, 295182629]"
4605758338,"[4605758337, 4605758345, 4605758334, 4605758338]"
295170244,"[548557849, 295168118, 299032002, 295170150]"
299032002,"[299032001, 295170290, 295170283, 295170244]"
299032001,"[295170264, 299032002, 295170196, 296654621]"
295170264,"[295170262, 299032001, 548557849]"
548557849,"[295170264, 295170249]"
295174569,"[295174568, 297523116, 295173379]"
295174568,"[295174569, 297523183, 297523242]"
295179131,"[295179063, 295179133, 295179120, 295179126]"
295179133,"[295179137, 295179126]"
295193365,[295193366]
295172669,"[295172654, 295172669, 295164247, 295164237]"
295172688,[295172669]
295196608,"[367467165, 295196608, 3538975315]"
295196676,[295196608]
295174607,"[297523118, 297523116, 295174609]"
295174609,"[297523242, 295174607, 297523241]"
449962830,[4605758338]
295179206,"[295179305, 295179304, 295167971]"
295167971,"[5064577691, 295179311, 295179206, 1177495653]"
2696495847,[297523243]
297523243,"[295188191, 296453948, 295185915, 295187968]"
295193392,[295193389]
295193401,"[295193400, 295193389]"
295193389,"[3195289196, 3195289186, 3195289193, 295193401]"
295167656,"[295167654, 295167451, 295194724]"
295167654,"[295167399, 295194717, 295167656]"
295165515,"[295165513, 295165531, 295165615]"
295170260,[295170258]
296654626,"[295170331, 296654622]"
295170258,[295170260]
295170256,"[295170325, 295170150, 295170322, 295170283, 295170262]"
295170283,"[295170271, 295170256, 299032002, 296654621]"
296654621,"[295170262, 296654622, 299032001, 295170283]"
295170262,"[295170264, 296654616, 296654621]"
1558527970,"[1051655362, 295188140]"
1051655362,"[1558527970, 295185960]"
295167650,"[295167662, 295167275, 295167652]"
295167662,"[295167653, 295167053, 295167650]"
295165529,"[295193400, 295165524, 295165531, 295189953, 295196768]"
295167674,"[295179801, 295167673, 295179815]"
295167673,"[295167473, 473609897, 295167674, 295167618]"
295170290,"[295170271, 295168118, 299032002, 295170196]"
295170271,"[295170325, 296654622, 295170283]"
295174656,"[297523126, 297523123, 297523129]"
297523126,"[295174656, 297523124, 1556926820, 297523127]"
295188086,"[295188191, 295188085, 295187972]"
295188085,"[295188086, 295187968, 1034172150]"
295182646,"[297103136, 295168668, 473609902, 297103135]"
297103136,"[1060223507, 295167630, 295182646, 297103135]"
297103135,"[475036025, 539429090, 297103136, 582636730]"
295178733,"[295178733, 295193396, 295178731]"
295193398,[295178733]
295174652,"[297523112, 297523124, 295174650]"
295174650,"[297523121, 295174652, 297523123]"
295167054,"[2361394898, 295179815, 4348480157, 295167053]"
295179815,"[295167060, 295167674, 295167054]"
295179801,"[2361394898, 297103139, 295167674]"
2361394898,"[295179801, 553316033, 295181651]"
295193396,"[295178733, 295193396, 2261418058]"
295193378,[295193396]
434774802,"[434774803, 584842080, 1556926800, 434774805]"
295179243,"[296654602, 295179250]"
295174662,"[295174584, 297523127, 295185591, 297328780]"
297328780,"[295174662, 297328789, 295156618, 295185584]"
297328789,"[297328790, 297328788, 297328780, 297328834]"
297328788,"[297328818, 297328844, 297328789, 297328835]"
297328818,"[297328788, 297328817, 297328819, 297328825]"
297328819,"[297523213, 297328821, 297328818, 297328798]"
297523213,"[297523237, 297328819, 297523214, 297523211]"
297523237,"[297523239, 297523235, 295174560, 297523213]"
295174560,"[297523237, 297523129, 297523238]"
297523129,"[295174656, 295174560, 297523127, 1037468210]"
297523127,"[297523126, 297523133, 1556926824, 3760567302, 297523129]"
295168170,"[2654335164, 297108548, 2654335166]"
2654335166,"[295168170, 295167691]"
1813452337,"[2362746682, 295154473, 367450282]"
367450282,"[1813452337, 3278196789, 3204398992]"
296654602,"[295179241, 295179101, 295179243, 296654614]"
295174659,"[412106980, 295174658, 297523138, 297523140]"
297523138,"[412106982, 295174659, 295174658, 297523136]"
295174658,"[1556926868, 297523138, 1556926866]"
295174669,[295174670]
295174670,"[295174666, 295174647]"
295167728,"[295167698, 816389319, 295155676]"
816389319,"[295167728, 295170005]"
295168125,"[295170333, 1994306333, 296654647]"
296654647,"[296654582, 295170158, 295170253, 295170167, 295168125]"
295179262,[295179243]
296654614,"[296654602, 295179112, 295179268, 296654586]"
295174666,"[295174670, 1556926867, 1028220836]"
1556926867,"[1556926860, 295174666, 1556926873]"
